resource,description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-NE7,community-facilities;designation,,2020-12-21,E07000004,Local green space,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-NE7
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-NE8,,,2020-12-21,E07000004,Best and most versatile agricultural land,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-NE8
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-NE9,trees,,2020-12-21,E07000004,"Trees, hedgerows and woodlands",,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-NE9
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-C1,development-management,,2020-12-21,E07000004,Conversion of rural buildings,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-C1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-C2,equestrian-facilities,,2020-12-21,E07000004,Equestrian development,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-C2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-C3,energy,,2020-12-21,E07000004,Renewable Energy,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-C3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-C4,infrastructure,,2020-12-21,E07000004,Protection of public rights of way,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-C4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I1,biodiversity;nature;ecology,,2020-12-21,E07000004,Green infrastructure,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I2,community-facilities;leisure,,2020-12-21,E07000004,Sports and recreation,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I3,community-facilities,,2020-12-21,E07000004,Community facilities and assets of community value,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I4,flooding,,2020-12-21,E07000004,Flooding,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I5,water,,2020-12-21,E07000004,Water resources,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I5
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,valp-I6,broadband;infrastructure;communications,,2020-12-21,E07000004,Telecommunications,,local-authority-eng:BUC,,development-policy/local-authority-eng/BUC/valp-I6
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC1,design,,2020-12-21,E07000005,Design of Development Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC2,lighting,,2020-12-21,E07000005,Sunlighting and Daylighting Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC3,,,2020-12-21,E07000005,Protection of Amenities Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC4,nature,,2020-12-21,E07000005,Landscaping Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC7,development-management;noise,,2020-12-21,E07000005,Noise-generating Developments Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC7
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC8,development-management;noise,,2020-12-21,E07000005,Residential and Other Noise Sensitive Development in Areas of High Noise Level Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC8
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC9,air-quality,,2020-12-21,E07000005,Prevention of Pollution Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC9
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC10,flooding,,2020-12-21,E07000005,Protection from Flooding in the Areas as Defined on the Proposals Map And Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC10
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC11,water,,2020-12-21,E07000005,Water Abstraction Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC11
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC12,area/location-specific-policy,,2020-12-21,E07000005,Protection of River Character - Rivers Chess & Misbourne,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC12
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC13,contamination,,2020-12-21,E07000005,Hazardous Substances Consent Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC13
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GC14,development-management,,2020-12-21,E07000005,Access for Disabled People to Developments Used by the Public Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GC14
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB1,green-belt,,2020-12-21,E07000005,Extent of the Green Belt in Chiltern District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB2,green-belt,,2020-12-21,E07000005,Development in General in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB4,green-belt;existing-housing,,2020-12-21,E07000005,Residential Development in the Green Belt within Existing Rows of Dwellings As Defined in the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB5,green-belt,,2020-12-21,E07000005,Residential Development in the Green Belt in Settlements As Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB5
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB6,green-belt;existing-housing;housing,,2020-12-21,E07000005,Rebuilding or Replacement of an Existing Habitable Dwelling Located in the Green Belt in the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB6
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB7,green-belt;existing-housing;housing,,2020-12-21,E07000005,Rebuilding or Replacement of an Existing Habitable Dwelling in the Green Belt Outside the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB7
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB8,green-belt;existing-housing;housing,,2020-12-21,E07000005,Rebuilding or Replacement of a Derelict Dwelling or Replacement of a Caravan with a Dwelling in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB8
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB10,green-belt;existing-housing;housing,,2020-12-21,E07000005,Re-Use of an Existing Habitable Dwelling in the Green Belt As More Than One Residential Unit (Class C3),,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB10
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB11,green-belt,,2020-12-21,E07000005,Re-Use of Existing Non-Residential Buildings in the Green Belt For Residential Use (Class C3),,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB11
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB12,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Extensions to Existing Dwellings and Self-Contained Residential Annexes (for relatives or domestic staff) in the Green Belt within the Policy Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB12
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB13,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Extensions to Existing Dwellings and Self-Contained Residential Annexes (for relatives or domestic staff) in the Green Belt Outside the Areas Defined in Policies GB4 and GB5,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB13
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB15,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Ancillary Residential Buildings Within the Curtilage of an Existing Habitable Dwelling in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB15
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB16,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000005,Extension of Residential Curtilages in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB16
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB17,green-belt,,2020-12-21,E07000005,Agricultural Workers Dwellings in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB17
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB20,green-belt;existing-housing,,2020-12-21,E07000005,Retention of a Dwelling in the Green Belt without Compliance with an Agricultural Occupancy Condition,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB20
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB22A,green-belt;economy;industry,,2020-12-21,E07000005,"Business, General Industrial and Storage or Distribution Development In the Green Belt",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB22A
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB23,green-belt;community-facilities;development-management,,2020-12-21,E07000005,"Limited Infilling Including Local Community Facilities in the Green Belt In the Areas Defined in Policies GB4 and GB5, except Development covered by Policies GB4, GB5, GB6, GB12 and GB15",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB23
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB24,green-belt;community-facilities;development-management,,2020-12-21,E07000005,Redevelopment or Change of Use of Buildings Used for the Provision of Local Community Facilities in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB24
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB27,green-belt,,2020-12-21,E07000005,"New Agricultural Buildings, Extensions and Alterations to Existing Agricultural Buildings in the Green Belt, except Dwellings for Agricultural Workers",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB27
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB29,green-belt;development-management;economy;industry,,2020-12-21,E07000005,"Re-Use of Buildings in the Green Belt for Commercial, Industrial, Recreational and Other Uses, except Residential Uses Covered by Policies GB10 and GB11",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB29
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-GB30,green-belt;development-management;nature,,2020-12-21,E07000005,Conservation and Enhancement of Rural Landscape in parts of The Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-GB30
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-LSQ1,designation;nature,,2020-12-21,E07000005,Chilterns Area of Outstanding Natural Beauty as Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-LSQ1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H2,allocation-sites;housing,,2020-12-21,E07000005,Identified Housing Sites as Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H3,housing,,2020-12-21,E07000005,"Provision of New Dwellings in the Built-Up Areas Excluded from the Green Belt (Other than in accordance with Policies H2, H4 & H7)",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H4,area/location-specific-policy;development-management;housing,,2020-12-21,E07000005,Provision of New Dwellings in Established Residential Areas of Special Character As Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H7,development-management;existing-housing;housing,,2020-12-21,E07000005,Conversion of a Dwelling into More than One Residential Unit in the Built-Up Areas Excluded from the Green Belt and Policy GB4 and GB5 Areas in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H7
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H9,development-management;existing-housing,,2020-12-21,E07000005,Loss of Existing Dwellings and Land in Residential Use Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H9
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H11,design;housing,,2020-12-21,E07000005,Distance Between Flank Elevation(s) of a Proposed Multi-Storey Dwelling and Boundary of Dwelling's Curtilage Throughout The District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H11
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H12,,,2020-12-21,E07000005,Private Residential Garden Areas Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H12
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H13,residential-alterations;existing-housing,,2020-12-21,E07000005,Extensions to Dwellings In the Built-Up Areas Excluded From the Green Belt and in Policy GB4 and GB5 Areas in the Green Belt - General Policy,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H13
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H14,development-management;existing-housing,,2020-12-21,E07000005,Safeguarding the Amenities of Neighbours in Relation to Extensions Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H14
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H15,design;residential-alterations;existing-housing,,2020-12-21,E07000005,Design and Siting of Extensions Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H15
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H16,design;housing,,2020-12-21,E07000005,Distance Between Multi-Storey or Upper Floor Side And/Or Rear Extensions and Boundary of Dwelling Curtilage Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H16
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H17,design;housing,,2020-12-21,E07000005,Distance Between Single Storey Side Extensions and Boundary of Dwelling Curtilage Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H17
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H18,design;housing,,2020-12-21,E07000005,Dormer Windows on Dwellings Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H18
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H19,development-management,,2020-12-21,E07000005,Self-Contained Residential Annexes (for relatives or domestic staff) in the Built-Up Areas Excluded from the Green Belt and in the Policy GB4 and GB5 Areas in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H19
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H20,development-management,,2020-12-21,E07000005,"Ancillary Residential Buildings (domestic garages, workshops, etc) In the Built-Up Areas Excluded From the Green Belt",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H20
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-H21,development-management;existing-housing,,2020-12-21,E07000005,Stationing and Occupation of a Caravan Within the Curtilage of a Dwellinghouse Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-H21
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S1,retail,,2020-12-21,E07000005,Locations For Shopping Development Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S1
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S2,area/location-specific-policy;development-management,,2020-12-21,E07000005,"Chesham, Amersham-on-the-Hill and Chalfont St Peter District Centres as Defined on the Proposals Map - Additional Shopping Floorspace",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S3,area/location-specific-policy;development-management,,2020-12-21,E07000005,The Local Centres as Defined on the Proposals Map Additional Shopping Floorspace,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S4,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Change of Use to Class A1 Shop - Ground Floors - All Centres as Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S5-CH,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Chesham District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S5-CH
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S5-AH,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Shopping Frontages in the District Shopping Centre of Amersham-on-the-Hill as Defined on the Proposals Map - Changes of Use To, or Between, Non Class A1 Shop Uses on Ground Floors",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S5-AH
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S5-CSP,area/location-specific-policy;development-management;retail;retail-policy,,2020-12-21,E07000005,"Chalfont St Peter District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S5-CSP
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S7,area/location-specific-policy;community-facilities;development-management;retail;retail-policy,,2020-12-21,E07000005,"Shopping Frontages in the Local Shopping Centres as Defined on the Proposals Map - Changes of Use To, or Between, Non - Class A1 Shop Uses on Ground Floors",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S7
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S9,area/location-specific-policy;retail,,2020-12-21,E07000005,Uses on Upper Floors in District and Local Shopping Centres as Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S9
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S10,area/location-specific-policy;housing,,2020-12-21,E07000005,"Residential Uses on Ground Floors in the Local Shopping Centres of Amersham Old Town, and Chalfont St Giles 192c as Defined on the Proposals Map",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S10
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S10A,area/location-specific-policy;development-management;housing;retail,,2020-12-21,E07000005,"Changes of Use on Ground and Upper Floors in High Street, Great Missenden as Defined on the Proposals Map",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S10A
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S11,design,,2020-12-21,E07000005,Shop Fronts Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S11
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S12,area/location-specific-policy,,2020-12-21,E07000005,Rear Servicing in Chesham and Amersham-on-the-Hill District Shopping Centres as Defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S12
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S13,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Small Scale Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S13
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-S14,area/location-specific-policy;development-management;retail,,2020-12-21,E07000005,Other Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-S14
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR2,highways,,2020-12-21,E07000005,Highway Aspects of Planning Applications Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR3,highways,,2020-12-21,E07000005,Access and Road Layout Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR6,area/location-specific-policy,,2020-12-21,E07000005,"Extension of Sycamore Road Car Park, Amersham",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR6
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR9,car-parks;allocated-sites,,2020-12-21,E07000005,"Land North-West of Water Meadow Car Park, Chesham",,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR9
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR11,car-parks;parking,,2020-12-21,E07000005,Provision of Off-Street Parking for Developments Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR11
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR12,car-parks;parking,,2020-12-21,E07000005,Relaxation of Parking Standards Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR12
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR14,car-parks;parking,,2020-12-21,E07000005,Retention of Existing Areas of Off-Street Vehicle Parking Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR14
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR15,car-parks;design,,2020-12-21,E07000005,Design of Parking Areas Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR15
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-TR16,car-parks;development-management,,2020-12-21,E07000005,Parking and Manoeuvring Standards Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-TR16
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-R2,community-facilities;development-management;leisure,,2020-12-21,E07000005,Loss of Existing Sports Facilities Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-R2
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-R3,community-facilities;development-management;leisure,,2020-12-21,E07000005,Indoor Sports Facilities in the Built-up Areas excluded from the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-R3
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-R4,green-belt;community-facilities;development-management;leisure,,2020-12-21,E07000005,Indoor Sports Facilities in the Green Belt,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-R4
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-R6,community-facilities;development-management;leisure;lighting,,2020-12-21,E07000005,Floodlighting of Sports Facilities Throughout the District,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-R6
8ac9ab79b8d853fb3f1064f97213e9e329c9554468772c2a90f37329f8d8fc60,,clp-R7,area/location-specific-policy;development-management;leisure;open-space,,2020-12-21,E07000005,Loss of Public Amenity Open Space and Common Land as defined on the Proposals Map,,local-authority-eng:BUC,1997-09-01,development-policy/local-authority-eng/BUC/clp-R7
